United States Of America (The)|USD|USD|1
Indonesia|IDR|IDR|1
ZAMBIA|ZMW|EUR|0.0344
YEMEN|YER|EUR|0.0039
WESTERN SAHARA|MAD|EUR|0.0963
WALLIS AND FUTUNA|XPF|EUR|0.0084
VIRGIN ISLANDS (U.S.)|USD|EUR|0.9602
VIRGIN ISLANDS (BRITISH)|USD|EUR|0.9602
VIET NAM|VND|EUR|0.000038
UZBEKISTAN|UZS|EUR|0.000074
URUGUAY|UYU|EUR|0.0221
UNITED STATES OF AMERICA (THE)|USD|EUR|0.9602
UNITED STATES MINOR OUTLYING ISLANDS (THE)|USD|EUR|0.9602
UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE)|GBP|EUR|1.1943
UNITED ARAB EMIRATES (THE)|AED|EUR|0.2615
UKRAINE|UAH|EUR|0.0229
UGANDA|UGX|EUR|0.00026
TUVALU|AUD|EUR|0.5970
TURKS AND CAICOS ISLANDS (THE)|USD|EUR|0.9602
TURKMENISTAN|TMT|EUR|0.2743
TURKEY|TRY|EUR|0.0268
TUNISIA|TND|EUR|0.3010
TRINIDAD AND TOBAGO|TTD|EUR|0.1421
TONGA|TOP|EUR|0.4100
TOKELAU|NZD|EUR|0.5417
TOGO|XOF|EUR|0.0015
TIMOR-LESTE|USD|EUR|0.9602
THAILAND|THB|EUR|0.0284
TANZANIA, UNITED REPUBLIC OF|TZS|EUR|0.00038
TAJIKISTAN|TJS|EUR|0.0882
TAIWAN (PROVINCE OF CHINA)|TWD|EUR|0.0292
SWITZERLAND|CHF|EUR|1.0587
SWEDEN|SEK|EUR|0.0872
SWAZILAND|SZL|EUR|0.0515
SVALBARD AND JAN MAYEN|NOK|EUR|0.0850
SURINAME|SRD|EUR|0.0272
SUDAN (THE)|SDG|EUR|0.0016
SRI LANKA|LKR|EUR|0.0032
SOUTH AFRICA|ZAR|EUR|0.0517
SOMALIA|SOS|EUR|0.0017
SOLOMON ISLANDS|SBD|EUR|0.1138
SINT MAARTEN (DUTCH PART)|ANG|EUR|0.5338
SINGAPORE|SGD|EUR|0.7111
SIERRA LEONE|SLE|EUR|0.000047
SEYCHELLES|SCR|EUR|0.0675
SERBIA|RSD|EUR|0.0085
SENEGAL|XOF|EUR|0.0015
SAUDI ARABIA|SAR|EUR|0.2561
SAINT VINCENT AND THE GRENADINES|XCD|EUR|0.3553
SAINT LUCIA|XCD|EUR|0.3553
SAINT KITTS AND NEVIS|XCD|EUR|0.3553
SAINT HELENA, ASCENSION AND TRISTAN DA CUNHA|SHP|EUR|1.1946
RWANDA|RWF|EUR|0.00069
RUSSIAN FEDERATION (THE)|RUB|EUR|0.0097
ROMANIA|RON|EUR|0.2010
QATAR|QAR|EUR|0.2641
PUERTO RICO|USD|EUR|0.9602
POLAND|PLN|EUR|0.2376
PITCAIRN|NZD|EUR|0.5417
PHILIPPINES (THE)|PHP|EUR|0.0165
PERU|PEN|EUR|0.2575
PARAGUAY|PYG|EUR|0.00012
PAPUA NEW GUINEA|PGK|EUR|0.2362
PANAMA|USD|EUR|0.9602
PANAMA|PAB|EUR|0.9614
PALAU|USD|EUR|0.9602
PAKISTAN|PKR|EUR|0.0034
OMAN|OMR|EUR|2.4948
NORWAY|NOK|EUR|0.0850
NORTHERN MARIANA ISLANDS (THE)|USD|EUR|0.9602
NORFOLK ISLAND|AUD|EUR|0.5970
NIUE|NZD|EUR|0.5417
NIGERIA|NGN|EUR|0.00064
NIGER (THE)|XOF|EUR|0.0015
NICARAGUA|NIO|EUR|0.0261
NEW ZEALAND|NZD|EUR|0.5417
NEW CALEDONIA|XPF|EUR|0.0084
NEPAL|NPR|EUR|0.0069
NAURU|AUD|EUR|0.5970
NAMIBIA|ZAR|EUR|0.0517
NAMIBIA|NAD|EUR|0.0515
MYANMAR|MMK|EUR|0.00029
MOZAMBIQUE|MZN|EUR|0.0150
MOROCCO|MAD|EUR|0.0963
MONTSERRAT|XCD|EUR|0.3553
MOLDOVA (THE REPUBLIC OF)|MDL|EUR|0.0516
MICRONESIA (FEDERATED STATES OF)|USD|EUR|0.9602
MEXICO|MXN|EUR|0.0469
MAURITIUS|MUR|EUR|0.0207
MAURITANIA|MRU|EUR|0.0241
MARSHALL ISLANDS (THE)|USD|EUR|0.9602
MALI|XOF|EUR|0.0015
MALDIVES|MVR|EUR|0.0623
MALAYSIA|MYR|EUR|0.2194
MALAWI|MWK|EUR|0.00055
MADAGASCAR|MGA|EUR|0.00020
REPUBLIC OF NORTH MACEDONIA|MKD|EUR|0.0163
MACAO|MOP|EUR|0.1199
LIECHTENSTEIN|CHF|EUR|1.0587
LIBYA|LYD|EUR|0.1959
LIBERIA|LRD|EUR|0.0048
LESOTHO|ZAR|EUR|0.0517
LESOTHO|LSL|EUR|0.0515
LEBANON|LBP|EUR|0.000011
LAO PEOPLE’S DEMOCRATIC REPUBLIC (THE)|LAK|EUR|0.000044
KYRGYZSTAN|KGS|EUR|0.0110
KUWAIT|KWD|EUR|3.1152
KOREA (THE REPUBLIC OF)|KRW|EUR|0.00067
KIRIBATI|AUD|EUR|0.5970
KENYA|KES|EUR|0.0074
KAZAKHSTAN|KZT|EUR|0.0019
JORDAN|JOD|EUR|1.3541
JERSEY|GBP|EUR|1.1943
JAPAN|JPY|EUR|0.0062
JAMAICA|JMD|EUR|0.0061
ISRAEL|ILS|EUR|0.2668
ISLE OF MAN|GBP|EUR|1.1943
IRAQ|IQD|EUR|0.00073
IRAN (ISLAMIC REPUBLIC OF)|IRR|EUR|0.000023
INTERNATIONAL MONETARY FUND (IMF)|XDR|EUR|1.2577
INDONESIA|IDR|EUR|0.000059
INDIA|INR|EUR|0.0111
ICELAND|ISK|EUR|0.0069
HUNGARY|HUF|EUR|0.0024
HONG KONG|HKD|EUR|0.1232
HONDURAS|HNL|EUR|0.0378
HEARD ISLAND AND McDONALD ISLANDS|AUD|EUR|0.5970
HAITI|USD|EUR|0.9602
HAITI|HTG|EUR|0.0074
GUYANA|GYD|EUR|0.0046
GUINEA-BISSAU|XOF|EUR|0.0015
GUINEA|GNF|EUR|0.00011
GUERNSEY|GBP|EUR|1.1943
GUATEMALA|GTQ|EUR|0.1244
GUAM|USD|EUR|0.9602
GRENADA|XCD|EUR|0.3553
GREENLAND|DKK|EUR|0.1340
GHANA|GHS|EUR|0.0629
GEORGIA|GEL|EUR|0.3331
GAMBIA (THE)|GMD|EUR|0.0133
GABON|XAF|EUR|0.0015
FRENCH POLYNESIA|XPF|EUR|0.0084
FIJI|FJD|EUR|0.4138
FAROE ISLANDS (THE)|DKK|EUR|0.1340
ETHIOPIA|ETB|EUR|0.0075
EQUATORIAL GUINEA|XAF|EUR|0.0015
EL SALVADOR|USD|EUR|0.9603
EL SALVADOR|SVC|EUR|0.1100
EGYPT|EGP|EUR|0.0191
ECUADOR|USD|EUR|0.9603
DOMINICAN REPUBLIC (THE)|DOP|EUR|0.0156
DOMINICA|XCD|EUR|0.3553
DJIBOUTI|DJF|EUR|0.0054
DENMARK|DKK|EUR|0.1340
CZECH REPUBLIC (THE)|CZK|EUR|0.0398
CURAÇAO|ANG|EUR|0.5338
CUBA|CUP|EUR|0.0401
CÔTE D'IVOIRE|XOF|EUR|0.0015
COSTA RICA|CRC|EUR|0.0019
COOK ISLANDS (THE)|NZD|EUR|0.5416
CONGO (THE)|XAF|EUR|0.0015
CONGO (THE DEMOCRATIC REPUBLIC OF THE)|CDF|EUR|0.00034
COMOROS (THE)|KMF|EUR|0.0020
COLOMBIA|COP|EUR|0.00023
COCOS (KEELING) ISLANDS (THE)|AUD|EUR|0.5970
CHRISTMAS ISLAND|AUD|EUR|0.5970
CHINA|CNY|EUR|0.1339
CHILE|CLP|EUR|0.00097
CHILE|CLF|EUR|26.7202
CHAD|XAF|EUR|0.0015
CENTRAL AFRICAN REPUBLIC (THE)|XAF|EUR|0.0015
